published_date,title,url,topics,n_topics,framing_score,tags_framing_score,guest_signal,identity_signal,guest_name_detected,guest_style,combined_score,combined_label,signal_sources,confidence,label_stage4b,label_stage5,label_stage6,cumulative_bias_score,score_lexicon,score_tags,score_guest_talkingpoints,score_guest_identity,combined_label_with_manual,manual_override_applied,manual_override_note
2018-04-23,"Gideon Rachman on Trump, Russia, China, Israel, Jeremy Corbyn and Journalism",https://www.youtube.com/watch?v=FvQrTzox-To,israel_and_middle_east|trump_and_us_politics|uk_politics|russia_ukraine_geopolitics,4,0.0,0.0,0.0,0.0,Gideon Rachman,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2018-04-30,"Andrew Doyle on Free Speech, Political Correctness & Gender Pay Gap",https://www.youtube.com/watch?v=7jgs4epz5Tk,trans_and_gender|woke_and_cancel_culture|free_speech_and_censorship|trump_and_us_politics|culture_war_general,5,2.0,1.0,1.0,1.0,Andrew Doyle,,3.0,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,4.0,1.0,1.0,1.0,1.0,right-leaning,False,
2018-05-04,Andrew Doyle on Privilege,https://www.youtube.com/watch?v=xPUHSPrVWeU,woke_and_cancel_culture|free_speech_and_censorship|culture_war_general,3,1.0,1.0,1.0,1.0,Andrew Doyle,,2.0,right-leaning,tags|guest,high,right-leaning,right-leaning,right-leaning,3.0,0.0,1.0,1.0,1.0,right-leaning,False,
2018-05-07,"Liam Halligan on Russia, Media, Liberal Bias and Brexit",https://www.youtube.com/watch?v=zXk61U61_GM,uk_politics|russia_ukraine_geopolitics|economy_and_cost_of_living|culture_war_general,4,1.5,0.5,1.0,0.0,Liam Halligan,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,2.5,1.0,0.5,1.0,0.0,right-leaning,False,
2018-05-14,"Dr Pippa Malmgren on Populism, Russia and AI",https://www.youtube.com/watch?v=JvaJE0w-G-g,trans_and_gender|trump_and_us_politics|uk_politics|russia_ukraine_geopolitics|economy_and_cost_of_living,5,0.0,0.0,1.0,1.0,Dr Pippa Malmgren,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,2.0,0.0,0.0,1.0,1.0,right-leaning,False,
2018-05-21,David Pilling on the Growth Delusion and Good News about Africa,https://www.youtube.com/watch?v=sWVSWRX6K6w,economy_and_cost_of_living,1,0.0,0.0,0.0,0.0,David Pilling,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2018-05-28,"Peter Tatchell on Human Rights, Free Speech and Political Reform",https://www.youtube.com/watch?v=aiNOAEWQ3AE,free_speech_and_censorship,1,0.0,0.0,0.0,0.0,Peter Tatchell,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2018-06-04,"Rory Sutherland on the Logic Trap, Humour & Free Speech",https://www.youtube.com/watch?v=T-rAzRK1MGo,free_speech_and_censorship|culture_war_general,2,0.0,0.0,1.0,0.0,Rory Sutherland,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,1.0,0.0,0.0,1.0,0.0,right-leaning,False,
2018-06-10,"Dr Joanna Williams on Feminism, #MeToo & the Gender Pay Gap",https://www.youtube.com/watch?v=PZpZl45-en8,trans_and_gender|culture_war_general,2,0.5,0.5,0.0,0.0,Dr Joanna Williams,,0.5,right-leaning,tags,low,right-leaning,right-leaning,right-leaning,0.5,0.0,0.5,0.0,0.0,right-leaning,False,
2018-06-18,"Dr Linda Yueh on Inequality, China and the End of Poverty",https://www.youtube.com/watch?v=2hEuX4qpf1c,trans_and_gender|free_speech_and_censorship|russia_ukraine_geopolitics|economy_and_cost_of_living,4,0.0,0.0,0.0,0.0,Dr Linda Yueh,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
