published_date,type,title,url,view_count,like_count,comment_count,guest_name,party,affiliation_wing,prominence,guest_style,topics,topic_wing,topic_treatment,stance,bias_category,framing_score,vader_title,vader_desc,vader_composite,guest_episodes,guest_median_views,guest_influence_tier,prominence_label,manual_review
2018-04-23,video,"Gideon Rachman on Trump, Russia, China, Israel, Jeremy Corbyn and Journalism",https://www.youtube.com/watch?v=FvQrTzox-To,9316,144,55,Gideon Rachman,,,,,israel_and_middle_east|trump_and_us_politics|uk_politics|russia_ukraine_geopolitics,contested,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,9316.0,low,,
2018-04-30,video,"Andrew Doyle on Free Speech, Political Correctness & Gender Pay Gap",https://www.youtube.com/watch?v=7jgs4epz5Tk,27216,706,115,Andrew Doyle,Right-wing commentator,right,3.0,,trans_and_gender|woke_and_cancel_culture|free_speech_and_censorship|trump_and_us_politics|culture_war_general,right,sympathetic_to_right,endorsing,right_affiliated_endorsing,2.0,0.4404,0.0,0.4404,19,58006.0,low,Senior/Established,
2018-05-04,video,Andrew Doyle on Privilege,https://www.youtube.com/watch?v=xPUHSPrVWeU,8106,140,7,Andrew Doyle,Right-wing commentator,right,3.0,,woke_and_cancel_culture|free_speech_and_censorship|culture_war_general,right,sympathetic_to_right,endorsing,right_affiliated_endorsing,1.0,0.3612,0.0,0.3612,19,58006.0,low,Senior/Established,
2018-05-07,video,"Liam Halligan on Russia, Media, Liberal Bias and Brexit",https://www.youtube.com/watch?v=zXk61U61_GM,7815,242,47,Liam Halligan,Right-wing commentator,right,2.0,,uk_politics|russia_ukraine_geopolitics|economy_and_cost_of_living|culture_war_general,right,sympathetic_to_right,endorsing,right_affiliated_endorsing,1.5,-0.1027,0.0,-0.1027,4,82467.0,low,Junior/Regular,
2018-05-14,video,"Dr Pippa Malmgren on Populism, Russia and AI",https://www.youtube.com/watch?v=JvaJE0w-G-g,4813,112,20,Dr Pippa Malmgren,,,,,trans_and_gender|trump_and_us_politics|uk_politics|russia_ukraine_geopolitics|economy_and_cost_of_living,right,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,2,7711.5,low,,
2018-05-21,video,David Pilling on the Growth Delusion and Good News about Africa,https://www.youtube.com/watch?v=sWVSWRX6K6w,2659,78,13,David Pilling,,,,,economy_and_cost_of_living,contested,unknown,challenging,unclassified,0.0,0.6705,0.0,0.6705,1,2659.0,low,,
2018-05-28,video,"Peter Tatchell on Human Rights, Free Speech and Political Reform",https://www.youtube.com/watch?v=aiNOAEWQ3AE,4290,104,38,Peter Tatchell,Green,left,1.0,,free_speech_and_censorship,right,unknown,unknown,left_affiliated_unknown,0.0,0.5106,0.0,0.5106,1,4290.0,low,Supporter/Minor,
2018-06-04,video,"Rory Sutherland on the Logic Trap, Humour & Free Speech",https://www.youtube.com/watch?v=T-rAzRK1MGo,23105,558,60,Rory Sutherland,Right-wing commentator,right,2.0,,free_speech_and_censorship|culture_war_general,right,unknown,endorsing,right_affiliated_endorsing,0.0,0.6249,0.0,0.6249,3,89436.0,low,Junior/Regular,
2018-06-10,video,"Dr Joanna Williams on Feminism, #MeToo & the Gender Pay Gap",https://www.youtube.com/watch?v=PZpZl45-en8,19403,601,205,Dr Joanna Williams,,,,,trans_and_gender|culture_war_general,right,sympathetic_to_right,endorsing,right_topic_sympathetic,0.5,-0.1027,0.0,-0.1027,1,19403.0,low,,
2018-06-18,video,"Dr Linda Yueh on Inequality, China and the End of Poverty",https://www.youtube.com/watch?v=2hEuX4qpf1c,3539,73,21,Dr Linda Yueh,,,,,trans_and_gender|free_speech_and_censorship|russia_ukraine_geopolitics|economy_and_cost_of_living,right,unknown,unknown,unclassified,0.0,-0.5106,0.0,-0.5106,1,3539.0,low,,
