published_date,type,title,description,url,view_count,like_count,comment_count,category_id,tags,topic_categories
2018-04-23,video,"Gideon Rachman on Trump, Russia, China, Israel, Jeremy Corbyn and Journalism","💥Join us on our Journey to 1 Million Subscribers💥 Gideon Rachman, Chief Foreign Affairs Commentator for the Financial Times discusses Journalism, Trump, Russia, China, distrust of elites, Israel, anti-semitism, Jeremy Corbyn and a lot more with the guys at TRIGGERnometry. Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod/ About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. SUBSCRIBE for more amazing content. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=FvQrTzox-To,9316,144,55,25,gideon rachman|ft|financial times|asia|easternisation|china|gideon rachman easternisation|trump|donald trump|russia|putin|skripal|skripal poisoning|skripal case|jeremy corbyn|corbyn|labour|labour anti semitic|israel|jewish state|triggerpod,https://en.wikipedia.org/wiki/Politics|https://en.wikipedia.org/wiki/Society
2018-04-30,video,"Andrew Doyle on Free Speech, Political Correctness & Gender Pay Gap","💥Join us on our Journey to 1 Million Subscribers💥 Andrew Doyle, stand-up comedian, Spiked Magazine columnist and Jonathan Pie co-writer discusses free speech, hate speech, offense, Count Dankula, Nazi pug video, the gender wage gap, writing for Spiked and a lot more with the guys at TRIGGERnometry. If you enjoy our content and would like to support our mission to facilitate open and fact-based discussion visit: https://www.patreon.com/triggerpod https://www.subscribestar.com/triggernometry https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=KEB7Z3N52LB5C&source=url Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod/ About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. SUBSCRIBE for more amazing content. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=7jgs4epz5Tk,27216,706,115,25,free speech|political correctness|freedom of speech|andrew doyle|hate speech|konstantin kisin|francis foster|rubin report|pc|offense|offence|wage gap|politically correct|politics|spiked|spiked magazine|jonathan pie|feminism|critical thinking|triggerpod,https://en.wikipedia.org/wiki/Politics|https://en.wikipedia.org/wiki/Society
2018-05-04,video,Andrew Doyle on Privilege,"💥Join us on our Journey to 1 Million Subscribers💥 Andrew Doyle, stand-up comedian, Spiked Magazine columnist and Jonathan Pie co-writer discusses privilege with the guys at TRIGGERnometry. If you enjoy our content and would like to support our mission to facilitate open and fact-based discussion visit: www.patreon.com/triggerpod Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod/ About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. SUBSCRIBE for more amazing content. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=xPUHSPrVWeU,8106,140,7,25,free speech|political correctness|politically correct|andrew doyle|konstantin kisin|francis foster|munroe bergdorf owned|munroe bergdorf|politics|critical thinking|privilege|white privelege,https://en.wikipedia.org/wiki/Entertainment
2018-05-07,video,"Liam Halligan on Russia, Media, Liberal Bias and Brexit","💥Join us on our Journey to 1 Million Subscribers💥 Liam Halligan, Telegraph Columnist, CNN Talk Panelist, economist & author of Clean Brexit discusses Russia & the Skripal affair, Social Media, Liberal Bias and Brexit with the guys at TRIGGERnometry. If you enjoy our content and would like to support our mission to facilitate open and fact-based discussion visit: www.patreon.com/triggerpod Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=zXk61U61_GM,7815,242,47,25,brexit|brexit explained|liam halligan|politics|ukip|russian spy poisoned|russian spy|russia|sergei skripal|skripal|clean brexit|liberal bias|social media|triggernometry|rubin report|eu referendum|european union|nigel farage|media|journalism|economics|jeremy corbyn|corbynista|triggerpod,https://en.wikipedia.org/wiki/Politics|https://en.wikipedia.org/wiki/Society
2018-05-14,video,"Dr Pippa Malmgren on Populism, Russia and AI","💥Join us on our Journey to 1 Million Subscribers💥 Dr Pippa Malmgren, former Special Assistant to President George W. Bush, author of Signals and founder of H Robotics, discusses populism, Trump, Brexit, Russia, the Cloud, AI and a lot more with the guys at TRIGGERnometry. Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=JvaJE0w-G-g,4813,112,20,25,pippa malmgren|pippa malmgren 2018|donald trump|russia|skripal attack|skripal case|skripal poisoning|trump|populism|politics|brexit|economics|vladimir putin|gender pay gap|gender wage ga,https://en.wikipedia.org/wiki/Politics|https://en.wikipedia.org/wiki/Society
2018-05-21,video,David Pilling on the Growth Delusion and Good News about Africa,"💥Join us on our Journey to 1 Million Subscribers💥 David Pilling, Africa Editor for the Financial Times and author of the Growth Delusion discusses everything that's wrong with GDP and all things Africa with the guys at TRIGGERnometry. Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=sWVSWRX6K6w,2659,78,13,25,triggernometry|triggerpod|konstantin kisin|david pilling|francis foster|gdp|growth|growth delusion|financial times|ft|environment|global|populism|politics|rubin report|economics|gross domestic product|africa|george weah|africa is a country|african politics|liberia|south africa,https://en.wikipedia.org/wiki/Society
2018-05-28,video,"Peter Tatchell on Human Rights, Free Speech and Political Reform","💥Join us on our Journey to 1 Million Subscribers💥 Peter Tatchell, a leading human rights campaigner over the last 50 years discusses human rights activism, free speech and political reform with the guys at TRIGGERnometry. Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=aiNOAEWQ3AE,4290,104,38,25,peter tatchell|peter tatchell interview|tatchell|tatchell mugabe|tatchell tyson|triggerpod|konstantin kisin|francis foster|triggernometry|human rights|free speech|freedom of speech|civil rights|robert mugabe|mike tyson|homophobia|gay rights|lgbt,https://en.wikipedia.org/wiki/Society
2018-06-04,video,"Rory Sutherland on the Logic Trap, Humour & Free Speech","💥Join us on our Journey to 1 Million Subscribers💥 Rory Sutherland, Executive Creative Director of OgilvyOne advertising agency and renowned public speaker, discusses empirical thinking vs. logic, the importance of humour, the role of comedy, free speech and much, much more with the guys at TRIGGERnometry. If you enjoy our content and would like to support our mission to facilitate open and fact-based discussion visit: www.patreon.com/triggerpod Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=T-rAzRK1MGo,23105,558,60,22,rory sutherland|advertising|marketing|ted|ogilvy|ogilvy on advertising|rory|sutherland|triggerpod|triggernometry|free speech|freedom of speech|comedy|comedians|logic|empiricism|philosophy|out-of-the-box|rubin report|feminism|ted talk|ted talks,https://en.wikipedia.org/wiki/Entertainment|https://en.wikipedia.org/wiki/Humour
2018-06-10,video,"Dr Joanna Williams on Feminism, #MeToo & the Gender Pay Gap","💥Join us on our Journey to 1 Million Subscribers💥 Dr Joanna Williams, author of Women vs. Feminism, discusses modern feminism, #MeToo, the gender pay gap and free speech with the guys at TRIGGERnometry. If you enjoy our content and would like to support our mission to facilitate open and fact-based discussion visit: https://www.patreon.com/triggerpod https://www.subscribestar.com/triggernometry https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=KEB7Z3N52LB5C&source=url Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, the culture war, feminism, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=PZpZl45-en8,19403,601,205,22,dr joanna williams|joanna williams|metoo|#metoo|feminism|modern feminism|feminist|feminist owned|gender pay gap|gender wage gap|feminist theory|culture wars|gender wars|triggernometry|triggerpod|rubin report|women|sexual harassment in the workplace|sexual harassment|sexual assault|consent|consent classes|men and women|sex discrimination|gender discrimination|gender|gender equality,https://en.wikipedia.org/wiki/Society
2018-06-18,video,"Dr Linda Yueh on Inequality, China and the End of Poverty","💥Join us on our Journey to 1 Million Subscribers💥 Economist Dr Linda Yueh discusses the economics of inequality, the gender pay gap, China, North Korea, the death of the American Dream and ending poverty with the guys at TRIGGERnometry. Find us on Social Media: https://twitter.com/triggerpod https://www.facebook.com/triggerpod https://www.instagram.com/triggerpod About TRIGGERnometry: Stand-up comedians Konstantin Kisin (@konstantinkisin) and Francis Foster (@failinghuman) make sense of politics, economics, free speech, the culture war, feminism, AI, drug policy and WW3 with the help of presidential advisors, renowned economists, award-winning journalists, controversial writers and notorious comedians. Join our exclusive TRIGGERnometry community on Substack! https://triggernometry.substack.com/",https://www.youtube.com/watch?v=2hEuX4qpf1c,3539,73,21,22,dr linda yueh|linda yueh|economics|economist|china|africa|poverty|ending poverty|triggernometry|triggerpod|konstantin kisin|francis foster|rubin report|kilkenomics|linda yueh 2018|linda yueh great economists|comedy|american dream|inequality|gender pay gap|gender wage gap|discrimination,https://en.wikipedia.org/wiki/Society
