guest_name,episode_count,sample_title,guest_style
Silkie Carlo,5,Your Government is Spying on You - Silkie Carlo,
Daniel Priestley,4,5 Things We Need To Do To Save The UK economy - Daniel Priestley,
Mark Normand,4,"Mark Normand: ""Stop Taking Comedy Seriously!""",
Lily Phillips,3,Lily Phillips: Why I Slept With 101 Men in One Day,
Barry Strauss,3,The Great Leaders of Antiquity Explained in 60 Minutes - Barry Strauss,
Dr. Rhonda Patrick,3,How Microplastics Are Ruining Your Health And What You Can Do About It - Dr. Rhonda Patrick,
David Volodzko,3,The Truth About Vladimir Lenin: A Century After His Death - David Volodzko,
Nimco Ali,2,Nimco Ali: British Africans Love Boris Johnson,
Historian Tom Holland,2,"Historian Tom Holland: Islam, Christianity & the West",
Rose of Dawn,2,"Rose of Dawn: ""Trans Women Aren't Allowed to Disagree with Trans Activists""",
Calvin Robinson,2,"""I'm Controversial Because I Say Things a White Man Can't"" - Calvin Robinson",
Inaya Folarin Iman,2,"""No Race Has a Monopoly on Oppression"" - Inaya Folarin Iman",
Brianna Wu,2,Progressive Activist Speaks Out Against Woke Madness - Brianna Wu,
Thomas Small,2,The Best Syria Breakdown You'll Ever Hear - Thomas Small,
David Betz,2,Are We Headed for Civil War? - David Betz,
Ex-Hollywood Writer,2,Ex-Hollywood Writer: Why Modern Movies Suck,
Lord Andrew Adonis,2,Lord Andrew Adonis: “We Didn’t Know What We Were Voting For With Brexit”,
Mark Blyth,2,"""We Have Capitalism for the Poor and Socialism for the Rich"" - Mark Blyth",
Mary Harrington,2,"""I Don't Believe In Progress"" - Mary Harrington",
Dr Diana Fleischman,2,"Red Pill, Bad Boys & Evolutionary Psychology - Dr Diana Fleischman",
Helen Dale,2,"Helen Dale on the IDW, Being Right Wing and the Australian Election",
Noah Carl,2,Noah Carl: Freedom of Speech in Academia,
Matthew Parris,2,Matthew Parris: We Must Stop Brexit,
Fin Taylor,2,Fin Taylor: The Culture War is a Myth,
Mercy Muroki,2,"""Our Report Found No Evidence of Widespread Institutional Racism"" - Mercy Muroki",
Sir John Curtice,2,"Sir John Curtice: ""Brexit was not about Left vs Right""",
Colonel Richard Kemp,2,"""Afghan Withdrawal Will Inspire Terrorism"" - Colonel Richard Kemp",
Michael Moynihan,2,Why Kamala Harris is Scared of Joe Rogan - Michael Moynihan,
David Goodhart,2,"David Goodhart on the Left, Multiculturalism, Cognitive Elites & Brexit",
Geoffrey Miller,2,Geoffrey Miller on the Fundamental Differences Between Men and Women,
Mike Israetel,2,Why We’re Fatter Than Ever - Mike Israetel,
Scott Adams,2,"Scott Adams: ""2020 Election Could be Biggest Blowout in History""",
Chris McGlade,2,Cancelled Anti-PC Comic Speaks Out - Chris McGlade,
India Willoughby,2,India Willoughby: Trans Women Have an Unfair Advantage in Sports,
Rob Henderson,2,How Elites Hurt the Poor With Terrible Ideas - Rob Henderson,
John Anderson,2,The Freak Tragedy That Brought Him to Faith - John Anderson,
Psychiatrist,2,Psychiatrist: How the Transgender Movement Happened,
Jess Butcher,2,Jess Butcher: Women in Tech Aren't Oppressed,
Alistair Williams,2,Alistair Williams: Why I Had to Create the Burger King Brexit Video,
Andrew Sullivan,2,"Andrew Sullivan: ""Leave Kids the F*ck Alone!""",
Norman Brennan,2,"Norman Brennan: ""The Police Have Lost Control of the Streets""",
Antony Beevor,2,The Russian Revolution: An In-Depth Guide - Antony Beevor,
Eoghan McCabe,2,AI CEO: People Have No Idea What’s Coming! - Eoghan McCabe,
Alex Kaschuta,2,Population Collapse is Coming - Alex Kaschuta,
Jay Darkmoore,2,Why Policing Is Broken - Jay Darkmoore,
Arielle Scarcella,2,"""Trans Issues Affect EVERYBODY"" - Arielle Scarcella",
Konstantin,2,Konstantin on the 'WOKE RIGHT',
Dr Mike Martin,2,"Dr Mike Martin: ""Why Men Are More Violent Than Women""",
Kaizen Asiedu,2,Zohran Mamdani and The Truth About Democratic Socialism - Kaizen Asiedu,
Uncle Roger,2,Uncle Roger: Comedian Cancelled by China,
James Rickards,2,James Rickards: The Next Financial Crash is Coming,
Tyler Fischer,2,Comedian Discriminated Against for Being White - Tyler Fischer,
Richard Grannon,2,An Epidemic of Narcissism with Richard Grannon,
Julie Bindel,2,An Honest Conversation with a Hardline Feminist - Julie Bindel,
James Holland,2,Why the Nazis lost WW2 - James Holland,
James Bloodworth,2,James Bloodworth on the Evils of the Gig Economy,
Andrew Doyle Live,2,"Andrew Doyle Live: ""The Woke Movement is Boosting the Far Right""",
NBA Champion,1,NBA Champion: Players Hide Their True Feelings About Social Justice,
Neel Kolhatkar,1,"Comedy, Censorship & Victimhood - Neel Kolhatkar",
NBA Star,1,NBA Star: Forced Out For Speaking Up,
Nazi Pug,1,Nazi Pug: The Story So Far,
Peter Lloyd,1,"""Masculinity Isn't Toxic, Our View of Men Is"" - Peter Lloyd",
Our Honest Opinion,1,Our Honest Opinion on Israel - Konstantin Kisin and Francis Foster,
Nicholas Gruen,1,"Nicholas Gruen on Immigration, Corruption in Academia and Citizens' Assemblies",
Olivia Reingold,1,The Next Mayor of New York? - Olivia Reingold,
Neil DeGrasse Tyson,1,Neil DeGrasse Tyson on 'the lone genius' 👀 #shorts #science #politics,
Oli London,1,"""$250,000 on Surgery to Become Korean. I Regret It"" - Oli London",
Neuroscientist,1,"Neuroscientist: ""We Live in a Controlled Hallucination""",
Nick Buckley MBE,1,Cancelled for Criticising BLM - Nick Buckley MBE,
Old School Lefty,1,Old School Lefty: Why I’m Not Excited by a Labour Government...,
Nick Dixon,1,Cancelled Comedian Speaks Out - Nick Dixon,
Nihilism,1,Nihilism: The Biggest Challenge Facing Gen Z - Konstantin Kisin,
Nina Power,1,"""Demonising Men Will Make Things Worse"" - Nina Power",
Norman Finkelstein,1,Israel/Palestine: Asking The Questions No One Else Will - Norman Finkelstein,
Mo Gawdat,1,How AI Changes The World THIS DECADE - Mo Gawdat,
Aaron Mate,1,"""Biden Presidency is Just More Failed Neo-Liberalism"" - Aaron Mate",
Mikhail Svetov,1,The Truth About Putin's Russia - Mikhail Svetov,
Konstantin Kisin Holberg Debate Speech,1,How to Stop the West's Decline - Konstantin Kisin Holberg Debate Speech,
Longevity Expert Gary Brecka,1,Don't Die Before Your Time - Longevity Expert Gary Brecka,
Liv Boeree,1,How the Media Broke the World - Liv Boeree,
Lila Rose,1,Should Porn Be Banned? - Lila Rose,
Lapsed Liberal,1,Neal Brennan - Lapsed Liberal,
LIVE EPISODE,1,LIVE EPISODE: Konstantin Kisin Provides Russia-Ukraine War Update,
LIVE DEBATE,1,LIVE DEBATE: Konstantin Kisin vs Vladimir Putin Fan,
Keri Smith,1,How I Left the Social Justice Cult - Keri Smith,
Mike Green,1,Is Bitcoin Bullsh*t? - Mike Green,
Kenan Malik,1,What We Get Wrong About Race - Kenan Malik,
Katherine Brodsky,1,Journalist CANCELLED From Women’s Group For… - Katherine Brodsky,
Kate Andrews,1,"Kate Andrews on the Gender Pay Gap, Feminism, Socialism & the NHS",
Karol Markowicz,1,The Truth About Woke Indoctrination in Schools - Karol Markowicz,
Karen Dunbar,1,BBC Interviews TRIGGERnometry - Karen Dunbar,
Judy Glenney,1,Transwomen in Women's Sport: Inclusive or Unfair? With Judy Glenney,
Lord David Frost,1,"Lord David Frost: ""The Budget Was Absolutely the Right Thing to Do""",
Lord Nigel Lawson,1,"Lord Nigel Lawson: ""I've Never Been More Worried About This Country""",
Lord Toby Young,1,"""It’s going to get worse."" – Lord Toby Young",
MURDER TRIAL JUDGE,1,MURDER TRIAL JUDGE: Why Normal People Do Evil Things,
Magatte Wade,1,Africa is NOT Poor Because of Colonialism: Here’s Why. - Magatte Wade,
Marian Tupy,1,"""Climate Activism is a Religion"" - Marian Tupy",
Mark Steel,1,"""The Left Used to Believe in Winning People Over"" - Mark Steel",
Martin Gurri,1,"Martin Gurri: ""There's No Going Back to Normal""",
Mary Eberstadt,1,"""The Sexual Revolution Created Identity Politics"" - Mary Eberstadt",
Peter Zeihan,1,Economic Disaster is Already Here - Peter Zeihan,
Meg Smaker,1,My 3 Years Inside Jihadi Rehab - Meg Smaker,
Meghan Murphy,1,"""Modern Feminism Involves Casual Man-Hating"" - Meghan Murphy",
Melissa Kearney,1,The True Cost of Family Breakdown - Melissa Kearney,
Michael Franzese,1,My Life as a Mafia Boss - Michael Franzese,
