published_date,title,url,guest_name_detected,guest_signal,is_right_guest_hint,is_forced_guest_override,topics,signal_sources,framing_score,combined_score,guest_talking_points_matched,manual_label,manual_notes
2026-03-01,Who Decides The Rules Of Your Marriage?,https://www.youtube.com/watch?v=RNsmu49PoRc,,0.0,False,False,culture_war_general,,0.0,0.0,,,
2026-02-28,Reality Doesn’t Care About Your Twitter Opinion,https://www.youtube.com/watch?v=h3ZAi2dA95Q,,0.0,False,False,,,0.0,0.0,,,
2026-02-25,Filter Your Water - Dr. Rhonda Patrick,https://www.youtube.com/watch?v=fULy1jdBOJc,Dr. Rhonda Patrick,0.0,False,False,,,0.0,0.0,,,
2026-02-23,Quickest Way To End A Marriage,https://www.youtube.com/watch?v=UrA1Q2HRk7w,,0.0,False,False,culture_war_general,,0.0,0.0,,,
2026-02-22,“Beyoncé Could Work At McDonald's & Marry Jay-Z. The Opposite Is Not True.”,https://www.youtube.com/watch?v=dXRu2A2-ats,,0.0,False,False,,,0.0,0.0,,,
2026-02-21,Men Need Relationships More Than Women,https://www.youtube.com/watch?v=G-mdv32utYk,,0.0,False,False,,,0.0,0.0,,,
2026-02-20,Avoid Black Plastic - Dr. Rhonda Patrick,https://www.youtube.com/watch?v=hDjI70Y2H78,Dr. Rhonda Patrick,0.0,False,False,,,0.0,0.0,,,
2026-02-19,The Crisis Facing Young Men - Scott Galloway,https://www.youtube.com/watch?v=i3zboO-iNDg,Scott Galloway,0.0,False,False,,,0.0,0.0,,,
2026-02-18,This is a Public Health Crisis - Dr Rhonda Patrick,https://www.youtube.com/watch?v=fc23Yo_c8dw,Dr Rhonda Patrick,0.0,False,False,,,0.0,0.0,,,
2026-02-18,What Does It Mean To Be English?,https://www.youtube.com/watch?v=4bH5x4IEv1w,,0.0,False,False,uk_politics,,0.0,0.0,,,
2026-02-17,"The West, Russia, and Reality",https://www.youtube.com/watch?v=RnoSsXzxCw4,,0.0,False,False,russia_ukraine_geopolitics,,0.0,0.0,,,
2026-02-16,Keir Starmer is Finished. But What Did We Learn From Mandelson/Epstein Affair? - Konstantin Kisin,https://www.youtube.com/watch?v=X0kvd1iP308,,0.0,False,False,uk_politics,,0.0,0.0,,,
2026-02-15,Britain Failed by Both Parties - Mike Graham,https://www.youtube.com/watch?v=h3lOWH2Jy2w,Mike Graham,0.0,False,False,uk_politics,,0.0,0.0,,,
2026-02-15,You've Been Lied To About Masculinity - Scott Galloway,https://www.youtube.com/watch?v=t358lhDJjBw,Scott Galloway,0.0,False,False,trump_and_us_politics|economy_and_cost_of_living|culture_war_general,,0.0,0.0,,,
2026-02-15,London Has Changed - Mike Graham,https://www.youtube.com/watch?v=eQnlUSXuZR4,Mike Graham,0.0,False,False,,,0.0,0.0,,,
2026-02-13,Mike Graham on Student Loans,https://www.youtube.com/watch?v=O6QKQIduRS0,Mike Graham,0.0,False,False,,,0.0,0.0,,,
2026-02-13,Multipolar Means Anti-American,https://www.youtube.com/watch?v=BgcZUWlhIvI,,0.0,False,False,,,0.0,0.0,,,
2026-02-11,We’re Playing With Fire - Eric Weinstein,https://www.youtube.com/watch?v=speusXoaZ2M,Eric Weinstein,0.0,False,False,,,0.0,0.0,,,
2026-02-09,Enoch Powell Was Gay?!,https://www.youtube.com/watch?v=3Atg-XgPwLY,,0.0,False,False,,,0.0,0.0,,,
2026-02-08,They Tried To Cancel Me But Now I'm Free - Mike Graham,https://www.youtube.com/watch?v=t8w_cYZLvcE,Mike Graham,0.0,False,False,immigration_and_borders|free_speech_and_censorship|islam_and_extremism|uk_politics|climate_and_environment,,0.0,0.0,,,
2026-02-08,We’d Love To Have All The Party Leaders On Our Show,https://www.youtube.com/watch?v=Xl1NCrGE6qs,,0.0,False,False,,,0.0,0.0,,,
2026-02-07,James McCann Gets Fact-Checked on Triggernometry 😂,https://www.youtube.com/watch?v=2P-4XJkEQ8c,,0.0,False,False,,,0.0,0.0,,,
2026-02-06,Why Kneecap Is Better Than ISIS - James McCann,https://www.youtube.com/watch?v=H78BFhJrfw0,James McCann,0.0,False,False,,,0.0,0.0,,,
2026-02-05,A Quick Message To The People Trying To Cancel Me,https://www.youtube.com/watch?v=H8aI98dEIPo,,0.0,False,False,,,0.0,0.0,,,
2026-02-03,How They Lie & Why They Do It - Konstantin Kisin,https://www.youtube.com/watch?v=99GtWMO5toI,,0.0,False,False,uk_politics,,0.0,0.0,,,
2026-02-03,We've Failed To Build Anything - Robert Jenrick,https://www.youtube.com/watch?v=A_xorvxa5JA,Robert Jenrick,0.0,False,False,,,0.0,0.0,,,
2026-02-02,Why I Left the Conservative Party - Robert Jenrick,https://www.youtube.com/watch?v=9rEUgj-542I,Robert Jenrick,0.0,False,False,uk_politics,,0.0,0.0,,,
2026-02-01,"Robert Jenrick - ""I Joined Reform To Save The Country""",https://www.youtube.com/watch?v=f8qCtV6g_oA,,0.0,False,False,immigration_and_borders|trump_and_us_politics|uk_politics|russia_ukraine_geopolitics|economy_and_cost_of_living,,0.0,0.0,,,
2026-01-31,Net Zero Is Economic Suicide. It Must Go.,https://www.youtube.com/watch?v=V3A9wxB9v1E,,0.0,False,False,climate_and_environment|economy_and_cost_of_living,,0.0,0.0,,,
2026-01-30,"Labour Should Be Apologising To The British People, Not Smearing Them.",https://www.youtube.com/watch?v=hrahukX9PMk,,0.0,False,False,uk_politics,,0.0,0.0,,,
2026-01-29,"Congratulations, You Taxed The Rich",https://www.youtube.com/watch?v=vbD6L7TKbOU,,0.0,False,False,economy_and_cost_of_living,,0.0,0.0,,,
2026-01-28,"Jeremy Boreing On Candace Owens, Tucker Carlson and Nick Fuentes",https://www.youtube.com/watch?v=KkZQK3mfQwY,,0.0,False,False,trump_and_us_politics,,0.0,0.0,,,
2026-01-28,Politicians Use Mass Immigration To Cover Up Economic Decline,https://www.youtube.com/watch?v=XuWr9DoH1JI,,0.0,False,False,immigration_and_borders|economy_and_cost_of_living,,0.0,0.0,,,
2026-01-27,"""Censorship Always Fails In The Long Run.""",https://www.youtube.com/watch?v=JOGQws4Mbv8,,0.0,False,False,free_speech_and_censorship,,0.0,0.0,,,
