"Table 2: Long-term international migration into and out of the United Kingdom measures of uncertainty,",,,,,,
using new approach to producing migration estimates [note 3],,,,,,
This worksheet contains one table.,,,,,,
Notes and definitions are referred to in this table. The text for these can be found in the corresponding worksheets.,,,,,,
"Some shorthand is used in this table, P = provisional, R = revised, YE = Year Ending and EU = European Union.",,,,,,
"Flow
[note 2]","Period
[note 10]",Estimate,Lower bound,Upper bound,,
Immigration,YE Dec 18,"825,000",Not available,Not available,,
Immigration,YE Jun 19,"821,000",Not available,Not available,,
Immigration,YE Dec 19,"788,000",Not available,Not available,,
Immigration,YE Jun 20,"736,000",Not available,Not available,,
Immigration,YE Dec 20,"662,000",Not available,Not available,,
Immigration,YE Jun 21,"737,000",Not available,Not available,,
Immigration,YE Dec 21,"917,000",Not available,Not available,,
Immigration,YE Jun 22,"1,088,000","1,039,000","1,097,000",,
Immigration,YE Dec 22,"1,294,000","1,250,000","1,325,000",,
Immigration,YE Jun 23,"1,320,000","1,270,000","1,355,000",,
Immigration,YE Dec 23,"1,326,000","1,284,000","1,363,000",,
Immigration,YE Jun 24 P R,"1,231,000","1,177,000","1,267,000",,
Immigration,YE Dec 24 P,"948,000","848,000","1,064,000",,
Emigration,YE Dec 18,"549,000",Not available,Not available,,
Emigration,YE Jun 19,"597,000",Not available,Not available,,
Emigration,YE Dec 19,"605,000",Not available,Not available,,
Emigration,YE Jun 20,"625,000",Not available,Not available,,
Emigration,YE Dec 20,569000,Not available,Not available,,
Emigration,YE Jun 21,"483,000",Not available,Not available,,
Emigration,YE Dec 21,"433,000",Not available,Not available,,
Emigration,YE Jun 22,"453,000","427,000","480,000",,
Emigration,YE Dec 22,"422,000","395,000","451,000",,
Emigration,YE Jun 23,"414,000","383,000","450,000",,
Emigration,YE Dec 23,"466,000","433,000","520,000",,
Emigration,YE Jun 24 P R,"491,000","446,000","564,000",,
Emigration,YE Dec 24 P,"517,000","446,000","635,000",,
Net migration,YE Dec 18,"276,000",Not available,Not available,,
Net migration,YE Jun 19,"224,000",Not available,Not available,,
Net migration,YE Dec 19,"184,000",Not available,Not available,,
Net migration,YE Jun 20,"111,000",Not available,Not available,,
Net migration,YE Dec 20,"93,000",Not available,Not available,,
Net migration,YE Jun 21,"254,000",Not available,Not available,,
Net migration,YE Dec 21,"484,000",Not available,Not available,,
Net migration,YE Jun 22,"634,000","567,000","663,000",,
Net migration,YE Dec 22,"873,000","809,000","922,000",,
Net migration,YE Jun 23,"906,000","828,000","963,000",,
Net migration,YE Dec 23 ,"860,000","779,000","914,000",,
Net migration,YE Jun 24 P R,"739,000","630,000","803,000",,
Net migration,YE Dec 24 P,"431,000","244,000","589,000",,
