Table 6: Alternative sources of non-EU+ immigration estimates. [definition 4] [note 11 and 14],,,,,
This worksheet contains one table.,,,,,
Notes and definitions are referred to in this table. The text for these can be found in the corresponding worksheets.,,,,,
"Some shorthand is used in this table, P = provisional, R = revised, YE = Year Ending.",,,,,
"Period
[note 10]","Long-term immigration estimates from 
Office for National Statistics","Number of 
visas granted (Home Office) ",Census 2021,Estimates from Registration and Population Interaction Database (RAPID) ,"
 National Insurance number allocations (DWP)"
YE Jun 19,"302,000","499,000",Not available,Not available,"256,000"
YE Sep 19,"305,000","533,000",Not available,Not available,"293,000"
YE Dec 19,"320,000","553,000",Not available,Not available,"308,000"
YE Mar 20,"341,000","554,000",Not available,"490,000","326,000"
YE Jun 20,"289,000","451,000",Not available,Not available,"276,000"
YE Sep 20,"221,000","356,000",Not available,Not available,"224,000"
YE Dec 20,"258,000","402,000",Not available,Not available,"206,000"
YE Mar 21,"266,000","440,000","264,000","431,000","160,000"
YE Jun 21 ,"332,000","555,000",Not available,Not available,"191,000"
YE Sep 21,"477,000","721,000",Not available,Not available,"277,000"
YE Dec 21,"541,000","756,000",Not available,Not available,"388,000"
YE Mar 22,"639,000","842,000",Not available,"734,000","558,000"
YE Jun 22,"748,000","991,000",Not available,Not available,"662,000"
YE Sep 22,"910,000","1,176,000",Not available,Not available,"778,000"
YE Dec 22,"982,000","1,267,000",Not available,Not available,"892,000"
YE Mar 23,"986,000","1,331,000",Not available,"1,021,000","955,000"
YE Jun 23,"1,000,000","1,302,000",Not available,Not available,"961,000"
YE Sep 23,"1,030,000","1,298,000",Not available,Not available,"974,000"
YE Dec 23,"1,048,000","1,265,000",Not available,Not available,"997,000"
YE Mar 24,"1,035,000","1,195,000",Not available,"1,065,000","906,000"
YE Jun 24,"965,000","1,106,000",Not available,Not available,"855,000"
YE Sep 24,"824,000","921,000",Not available,Not available,"739,000"
YE Dec 24,"663,000","804,000",Not available,Not available,"605,000"
